"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","10-11",82,3852.27,46.34,45.92,45.12,44.46,45.15,2.07,2.4,26.38,31.07,36.67,44.6,47.11,58.86,2.07,2.51,-0.33,-4.69,-7.93,-11.75,-0.44,7.85,92.28
"Coyotes","ARI","10-11",82,3863.57,53.87,49.67,49.51,50.36,48.57,2.42,2.07,30.14,30.54,42.68,43.52,56.73,55.92,2.27,2.41,0.35,-0.4,-0.84,0.82,-0.13,8.02,93.23
"Thrashers","ATL","10-11",82,3910.83,45.55,48.96,49.57,48.4,47.17,2.12,2.53,30.06,31.34,41.34,42.05,54.54,58.15,2.27,2.55,-0.41,-1.28,-0.71,-3.61,-0.27,7.04,91.93
"Bruins","BOS","10-11",82,3935.4,59.07,50.69,50.73,51.42,50.33,2.69,1.86,32.51,31.62,43.97,42.7,60.05,56.74,2.34,2.31,0.83,0.88,1.26,3.31,0.03,8.27,94.11
"Sabres","BUF","10-11",82,3853.65,53.03,52.07,50.79,50.5,50.66,2.51,2.22,32.1,29.55,42.56,41.23,56.18,55.07,2.3,2.24,0.29,2.56,1.33,1.11,0.06,7.81,92.48
"Hurricanes","CAR","10-11",81,3740.58,48.97,47.46,47.44,48.77,48.21,2.38,2.48,29.72,32.9,42.41,46.99,59.01,62,2.54,2.73,-0.1,-3.19,-4.57,-2.98,-0.19,8.02,92.45
"Blue Jackets","CBJ","10-11",82,3774.07,46.34,49.75,50.14,50.07,50.27,2.18,2.52,28.85,29.14,39.98,39.76,53.29,53.14,2.22,2.2,-0.34,-0.29,0.22,0.15,0.02,7.56,91.34
"Flames","CGY","10-11",82,3837.55,51.99,52.05,52.44,51.58,53.99,2.48,2.29,29.48,27.17,41.72,37.83,55.97,52.54,2.22,1.89,0.19,2.32,3.89,3.44,0.33,8.41,91.58
"Blackhawks","CHI","10-11",82,3968.98,53.62,54.19,54.11,53.73,52.35,2.52,2.18,31.83,26.91,42.9,36.38,57.06,49.14,2.35,2.14,0.34,4.93,6.52,7.93,0.21,7.91,91.9
"Avalanche","COL","10-11",82,3849.7,45.82,47.19,46.57,46.15,49.16,2.26,2.68,28.03,31.37,38.06,43.66,49.99,58.32,2.24,2.32,-0.41,-3.34,-5.6,-8.33,-0.08,8.08,91.47
"Stars","DAL","10-11",82,3813.07,50.55,46.54,47.69,47.93,47.55,2.25,2.2,25.81,29.65,37.68,41.33,50.92,55.32,1.99,2.19,0.05,-3.84,-3.65,-4.39,-0.21,8.72,92.57
"Red Wings","DET","10-11",82,3854.2,50.27,51.73,52.6,53.09,51.37,2.58,2.55,32.44,30.27,45.72,41.2,59.21,52.32,2.4,2.27,0.03,2.17,4.52,6.89,0.13,7.95,91.57
"Oilers","EDM","10-11",82,3783.95,42.11,45.09,44.69,45.2,43.43,1.96,2.7,25.48,31.03,35.35,43.74,48.91,59.29,2.13,2.77,-0.74,-5.55,-8.39,-10.38,-0.64,7.71,91.3
"Panthers","FLA","10-11",82,3912.18,46.43,49.2,49.53,49.86,51.36,2.11,2.44,29.8,30.76,41.31,42.09,55.35,55.66,2.3,2.18,-0.33,-0.96,-0.78,-0.31,0.12,7.1,92.07
"Kings","L.A","10-11",82,3854.7,52.27,50.65,51.37,52,51.89,2.3,2.1,28.08,27.36,40.91,38.73,55.61,51.34,2.17,2.01,0.2,0.72,2.18,4.27,0.16,8.18,92.33
"Wild","MIN","10-11",82,3827.33,45.78,44.27,44.38,44.77,44.73,1.96,2.32,24.83,31.26,34.95,43.79,46.72,57.63,1.81,2.24,-0.36,-6.43,-8.85,-10.91,-0.43,7.89,92.58
"Canadiens","MTL","10-11",82,3778.47,50.32,51.73,52.28,51.84,49.93,2.14,2.11,31.57,29.46,43.97,40.14,59.57,55.33,2.34,2.34,0.03,2.11,3.83,4.24,-0.01,6.78,92.83
"Devils","N.J","10-11",82,3997.7,44.29,51.75,51.92,51.82,51.36,1.75,2.2,27.66,25.79,37.36,34.6,48.67,45.25,1.99,1.88,-0.45,1.87,2.76,3.42,0.11,6.33,91.46
"Predators","NSH","10-11",82,3899.88,54.35,49.34,49.26,50.08,50.89,2.35,1.97,29.01,29.79,39.2,40.37,52.33,52.16,2.25,2.17,0.38,-0.77,-1.18,0.17,0.08,8.09,93.38
"Islanders","NYI","10-11",82,3786.73,43.77,46.53,45.84,45.44,45.67,2.15,2.77,27.7,31.83,38.35,45.31,52.39,62.9,2.4,2.86,-0.61,-4.13,-6.96,-10.51,-0.46,7.78,91.3
"Rangers","NYR","10-11",82,3860.92,51.75,49.79,50.2,49.03,53.47,2.29,2.14,28.91,29.16,40.3,39.99,53.43,55.54,2.86,2.49,0.15,-0.25,0.31,-2.11,0.37,7.92,92.68
"Senators","OTT","10-11",82,3867.18,41.76,49.21,49.03,49.21,48.6,1.92,2.67,28.79,29.71,39.33,40.88,52.63,54.33,2.18,2.31,-0.76,-0.92,-1.55,-1.7,-0.13,6.66,91
"Flyers","PHI","10-11",82,3776.57,55.54,51.73,50.73,50.21,51.14,2.76,2.21,31.79,29.66,42.99,41.76,57.82,57.34,2.59,2.48,0.55,2.12,1.23,0.48,0.12,8.67,92.56
"Penguins","PIT","10-11",82,3713.48,53.45,53.07,52.92,53.38,51.55,2.33,2.03,31.32,27.69,42.88,38.15,58.59,51.16,2.22,2.09,0.3,3.63,4.73,7.43,0.13,7.45,92.66
"Sharks","S.J","10-11",82,3908.6,54.45,54.04,54.4,54.15,56.49,2.36,1.97,32.42,27.58,45.27,37.95,60.74,51.42,2.68,2.07,0.39,4.84,7.32,9.31,0.62,7.27,92.85
"Blues","STL","10-11",82,3890.3,50.45,52.28,52.56,52.35,50.94,2.49,2.44,29.57,26.99,42.1,38,56.23,51.17,2.29,2.2,0.04,2.58,4.1,5.05,0.08,8.41,90.95
"Lightning","T.B","10-11",82,3753.95,50.78,53.99,53.61,52.49,56.08,2.44,2.37,31.53,26.87,43.41,37.57,57.67,52.19,2.45,1.92,0.08,4.66,5.85,5.48,0.53,7.74,91.19
"Maple Leafs","TOR","10-11",82,3812.28,48.7,46.69,46.47,47.04,46.75,2.34,2.47,27.53,31.43,39.07,45.02,55.17,62.11,2.09,2.38,-0.12,-3.91,-5.94,-6.94,-0.29,8.51,92.15
"Canucks","VAN","10-11",82,3827.55,56.71,52.33,52.95,53.28,50.16,2.55,1.94,31.41,28.61,43.78,38.91,58.95,51.69,2.34,2.33,0.6,2.8,4.87,7.26,0.01,8.1,93.21
"Capitals","WSH","10-11",81,3814.25,51.96,51.28,50.95,51.14,51.47,2.21,2.05,29.45,27.99,40.83,39.31,56.96,54.41,2.29,2.16,0.17,1.47,1.52,2.54,0.13,7.51,92.69
"Ducks","ANA","11-12",82,3907.33,46.81,47.93,48.31,48.1,47.94,2.11,2.4,26.4,28.68,38.12,40.79,50.79,54.8,2.13,2.31,-0.29,-2.28,-2.67,-4,-0.18,7.99,91.65
"Coyotes","ARI","11-12",82,3973.5,53.14,49.11,49.11,49.86,48.59,2.39,2.11,29.72,30.79,41.87,43.39,55.94,56.25,2.3,2.43,0.28,-1.08,-1.52,-0.31,-0.13,8.06,93.14
"Bruins","BOS","11-12",82,3963.3,56.95,52.84,53.68,54.26,53.71,2.89,2.18,32.05,28.61,44.38,38.3,60.33,50.86,2.3,1.98,0.71,3.44,6.08,9.47,0.32,9.02,92.36
"Sabres","BUF","11-12",82,3955.13,51.26,48.59,48.23,49.14,48.12,2.29,2.18,28.3,29.94,38.73,41.58,52.46,54.31,2.1,2.26,0.11,-1.64,-2.85,-1.84,-0.16,8.08,92.73
"Hurricanes","CAR","11-12",82,3911.63,45.94,47.72,47.97,48.43,47.43,2.09,2.46,28.84,31.59,40.83,44.29,55.68,59.28,2.4,2.66,-0.37,-2.75,-3.46,-3.6,-0.26,7.24,92.22
"Blue Jackets","CBJ","11-12",82,3807.1,44.13,46.85,47.21,47.04,48.85,2.02,2.56,27.52,31.22,37,41.37,48.53,54.64,2.01,2.1,-0.54,-3.7,-4.37,-6.11,-0.09,7.34,91.81
"Flames","CGY","11-12",82,3928.55,48.07,47.34,46.85,47.6,49.7,2.05,2.21,26.85,29.87,36.85,41.8,50.2,55.25,2.14,2.17,-0.16,-3.02,-4.95,-5.05,-0.03,7.63,92.59
"Blackhawks","CHI","11-12",82,3946.12,49.9,52.79,52.81,52.93,52.22,2.48,2.5,30.91,27.64,42.18,37.7,56.22,50,2.39,2.18,-0.01,3.27,4.48,6.22,0.2,8.04,90.97
"Avalanche","COL","11-12",82,3972.77,48.27,50.77,50.03,50.83,49.99,2.04,2.18,30.46,29.54,41.27,41.22,56,54.16,2.2,2.2,-0.15,0.93,0.05,1.84,0,6.69,92.6
"Stars","DAL","11-12",82,3880.02,48.46,49.18,49.66,49.35,47.93,2.2,2.34,28.56,29.52,40.66,41.22,54.97,56.43,2.01,2.18,-0.14,-0.96,-0.56,-1.46,-0.17,7.7,92.07
"Red Wings","DET","11-12",82,3875.2,59.5,55.12,55.14,55.18,54.66,2.76,1.88,31.87,25.95,43.45,35.35,57.12,46.39,2.39,1.98,0.88,5.93,8.1,10.73,0.41,8.67,92.75
"Oilers","EDM","11-12",82,3863.22,47.64,47.12,47.65,47.04,46.45,2.15,2.36,26.74,30.02,37.71,41.43,50.46,56.82,2.25,2.6,-0.21,-3.27,-3.72,-6.36,-0.34,8.03,92.13
"Panthers","FLA","11-12",82,3959.57,46.54,48.66,49.26,49.27,46.9,1.86,2.14,28.12,29.68,38.8,39.96,51.6,53.12,1.91,2.16,-0.28,-1.55,-1.16,-1.53,-0.25,6.61,92.8
"Kings","L.A","11-12",82,3805.73,50.37,54.26,53.96,55.16,52.55,1.86,1.83,30.77,25.95,44.16,37.68,60.03,48.8,2.26,2.04,0.03,4.83,6.48,11.22,0.22,6.04,92.94
"Wild","MIN","11-12",82,3882.6,41.13,45.05,44.19,43.57,47.21,1.58,2.26,25.19,30.73,34.89,44.07,46.93,60.77,1.95,2.18,-0.68,-5.54,-9.18,-13.85,-0.23,6.27,92.64
"Canadiens","MTL","11-12",82,3768.73,49.18,48.01,47.86,48.1,47.77,2.21,2.29,27.16,29.41,37.4,40.75,52.66,56.82,2.01,2.2,-0.07,-2.25,-3.35,-4.16,-0.19,8.15,92.23
"Devils","N.J","11-12",82,3945.6,48.83,50.43,50.71,50.71,52.2,2.1,2.2,26.16,25.71,35.12,34.14,46.16,44.87,2.08,1.91,-0.1,0.45,0.99,1.28,0.18,8.02,91.45
"Predators","NSH","11-12",82,4008.82,50.65,47.6,47.28,46.81,49.59,2.31,2.25,27.35,30.11,37.17,41.45,48.97,55.65,2.1,2.14,0.06,-2.76,-4.27,-6.68,-0.03,8.44,92.53
"Islanders","NYI","11-12",82,4008.07,42.47,49.08,48.35,47.14,48.63,1.92,2.61,28.28,29.35,38.61,41.24,51.88,58.17,2.42,2.55,-0.68,-1.07,-2.63,-6.29,-0.14,6.8,91.12
"Rangers","NYR","11-12",82,3885.4,53.73,50.35,49.65,48.08,51.4,2.3,1.98,27.67,27.28,37.79,38.32,50.15,54.15,2.53,2.39,0.32,0.39,-0.53,-4,0.14,8.31,92.74
"Senators","OTT","11-12",82,3856.15,50.8,50.29,50.59,51.85,48.76,2.47,2.39,30.96,30.6,43.02,42.02,59.19,54.97,2.3,2.42,0.08,0.36,1,4.22,-0.12,7.97,92.19
"Flyers","PHI","11-12",82,3704.83,53.62,52.24,51.28,51.16,52.04,2.69,2.33,31.08,28.42,42.28,40.17,57.43,54.82,2.59,2.38,0.36,2.66,2.11,2.61,0.2,8.65,91.81
"Penguins","PIT","11-12",82,3869.18,54.16,55.41,55.26,55.09,54.01,2.89,2.44,32.93,26.49,45.46,36.8,60.66,49.44,2.49,2.12,0.44,6.43,8.66,11.21,0.37,8.77,90.78
"Sharks","S.J","11-12",82,3990.12,51.82,53.44,53.09,51.84,53.89,2.11,1.96,32.08,27.95,44.07,38.95,59.25,55.06,2.39,2.04,0.15,4.13,5.13,4.2,0.34,6.57,92.99
"Blues","STL","11-12",82,3859.68,56.98,54.54,54.94,54.12,54.91,2.06,1.56,30.49,25.41,43.16,35.4,56.93,48.26,2.38,1.95,0.51,5.08,7.76,8.66,0.43,6.76,93.88
"Lightning","T.B","11-12",82,3918,48.02,47.13,46.93,46.3,47.78,2.57,2.78,26.29,29.5,36.47,41.24,49.23,57.1,2.09,2.28,-0.21,-3.21,-4.77,-7.86,-0.19,9.77,90.57
"Maple Leafs","TOR","11-12",82,3977.3,46.04,47.56,47.52,48.5,47.83,2.31,2.71,27.35,30.16,39.11,43.2,54.81,58.2,2.24,2.44,-0.4,-2.81,-4.09,-3.39,-0.2,8.46,91.01
"Canucks","VAN","11-12",82,3839.77,54.46,50.66,52.21,53.62,48.65,2.44,2.04,30.26,29.47,42.08,38.52,58.03,50.19,2.15,2.27,0.4,0.79,3.56,7.84,-0.12,8.07,93.07
"Jets","WPG","11-12",82,3914.38,49.87,50.89,51.13,50.29,50.69,2.34,2.35,29.95,28.9,42.62,40.73,55.8,55.16,2.47,2.4,-0.01,1.05,1.89,0.65,0.07,7.8,91.87
"Capitals","WSH","11-12",82,3953.63,50.15,48.59,48.84,48.59,49.93,2.21,2.2,27.45,29.04,38.31,40.13,52.43,55.48,2.06,2.06,0.01,-1.59,-1.81,-3.05,-0.01,8.05,92.43
"Ducks","ANA","12-13",48,2347.97,55.57,50.17,48.63,48.05,49.75,2.31,1.84,26.73,26.55,37.31,39.42,50.99,55.14,2.14,2.16,0.46,0.18,-2.11,-4.14,-0.02,8.63,93.06
"Coyotes","ARI","12-13",48,2264.97,51.24,50.4,50.82,50.74,49.68,2.26,2.15,30.71,30.23,43.63,42.22,57.64,55.95,2.28,2.31,0.11,0.48,1.41,1.69,-0.03,7.37,92.87
"Bruins","BOS","12-13",48,2323.95,55.58,54.48,54.9,55.4,53.55,2.37,1.89,32.96,27.55,45.97,37.77,62.91,50.65,2.44,2.11,0.48,5.42,8.2,12.26,0.32,7.19,93.13
"Sabres","BUF","12-13",48,2237.47,47.1,44.95,44.28,44.6,43.2,2.14,2.41,26.44,32.39,35.66,44.87,47.89,59.48,1.89,2.48,-0.26,-5.94,-9.21,-11.59,-0.59,8.1,92.57
"Hurricanes","CAR","12-13",48,2284.28,45.44,49.87,49.89,50.71,47.65,2.3,2.76,31.43,31.6,44.52,44.71,60.53,58.84,2.59,2.85,-0.46,-0.16,-0.19,1.69,-0.26,7.31,91.26
"Blue Jackets","CBJ","12-13",48,2294.65,51.46,45.83,45.79,47.24,45.99,2.17,2.05,24.94,29.47,33.71,39.91,47.42,52.97,1.74,2.04,0.12,-4.54,-6.2,-5.55,-0.3,8.69,93.06
"Flames","CGY","12-13",48,2320.93,40.23,47.27,46.91,46.72,48.02,2.11,3.14,26.61,29.69,37.1,41.99,49.95,56.96,2.21,2.39,-1.03,-3.08,-4.88,-7.01,-0.18,7.93,89.44
"Blackhawks","CHI","12-13",48,2315.92,61.34,56.17,56.31,55.68,54.39,2.8,1.76,31.3,24.42,42.01,32.59,56.68,45.12,2.36,1.98,1.03,6.88,9.42,11.57,0.38,8.94,92.78
"Avalanche","COL","12-13",48,2286.85,44.28,48.51,47.78,47.24,47.3,2.04,2.57,28.61,30.36,39.06,42.69,52.81,58.98,2.11,2.35,-0.53,-1.76,-3.63,-6.17,-0.24,7.14,91.53
"Stars","DAL","12-13",48,2233.57,50.35,46.5,47.02,48.7,46.29,2.48,2.44,26.03,29.95,37.71,42.49,53.25,56.09,2.17,2.52,0.03,-3.91,-4.78,-2.84,-0.35,9.52,91.84
"Red Wings","DET","12-13",48,2252.2,52.51,52.35,53.64,53.93,52.53,1.98,1.79,29.78,27.11,41.87,36.18,55.53,47.44,2.27,2.05,0.19,2.67,5.68,8.09,0.22,6.64,93.4
"Oilers","EDM","12-13",48,2243.88,47.04,45.04,44.99,44.44,44.54,2.16,2.43,26.49,32.33,36.93,45.14,48.71,60.91,2.14,2.67,-0.27,-5.83,-8.22,-12.2,-0.52,8.15,92.48
"Panthers","FLA","12-13",48,2338.17,35.09,46.61,46.91,47.28,45.27,1.62,2.99,27.56,31.58,37.9,42.9,50.46,56.26,1.98,2.39,-1.37,-4.01,-5,-5.8,-0.41,5.87,90.53
"Kings","L.A","12-13",48,2282.38,52.34,55.4,56.09,56.83,55.63,2.26,2.06,30.03,24.18,43.46,34.02,57.74,43.87,2.35,1.87,0.2,5.86,9.44,13.87,0.48,7.53,91.48
"Wild","MIN","12-13",48,2316.15,46.73,50.18,49.43,49.5,52.39,2.06,2.35,27.06,26.87,36.9,37.75,49.67,50.66,2.1,1.91,-0.29,0.2,-0.85,-1,0.19,7.61,91.26
"Canadiens","MTL","12-13",48,2192.12,56.02,53.48,54.12,53.55,55.38,2.68,2.1,30.15,26.23,42.48,36.01,58.64,50.87,2.32,1.87,0.58,3.92,6.47,7.77,0.45,8.88,91.99
"Devils","N.J","12-13",48,2252.07,45.46,53.75,55.22,55.4,55.3,1.65,1.98,26.33,22.66,37.43,30.35,50.05,40.29,2.14,1.73,-0.33,3.67,7.07,9.76,0.41,6.27,91.25
"Predators","NSH","12-13",48,2346.28,46.36,47.21,46.48,45.75,49.54,1.88,2.18,24.6,27.52,33.8,38.92,45.27,53.68,1.93,1.96,-0.3,-2.91,-5.12,-8.4,-0.04,7.65,92.08
"Islanders","NYI","12-13",48,2350.28,49.61,52.79,51.05,50.21,52.25,2.41,2.45,30.1,26.93,40.74,39.07,55.58,55.12,2.6,2.38,-0.04,3.18,1.67,0.46,0.22,8.01,90.9
"Rangers","NYR","12-13",48,2328.9,57.29,54.04,53.42,51.9,53.16,2.32,1.73,31.25,26.58,43.05,37.53,57.95,53.7,2.59,2.29,0.59,4.68,5.52,4.25,0.31,7.41,93.5
"Senators","OTT","12-13",48,2265.38,50.23,52.27,52.85,53.81,52.93,1.93,1.92,32.39,29.57,45,40.15,61.75,53.01,2.36,2.1,0.02,2.82,4.86,8.75,0.26,5.97,93.52
"Flyers","PHI","12-13",48,2202.67,46.4,49.28,48,47.78,47.66,2.23,2.57,28.01,28.83,38.81,42.04,53.18,58.13,2.12,2.33,-0.35,-0.81,-3.23,-4.94,-0.21,7.95,91.07
"Penguins","PIT","12-13",48,2263.12,59.43,51.04,50.91,50.19,52.39,2.86,1.95,30.04,28.82,41.4,39.92,55.49,55.06,2.3,2.09,0.91,1.22,1.48,0.43,0.21,9.52,93.23
"Sharks","S.J","12-13",48,2306.82,50.39,51.99,52.13,51.46,53.95,1.99,1.96,30,27.7,42.86,39.36,58.72,55.39,2.41,2.05,0.03,2.3,3.5,3.33,0.35,6.63,92.94
"Blues","STL","12-13",48,2300.77,51.9,53.71,53.42,52.31,50.57,2.17,2.01,27.48,23.68,38.47,33.55,51.65,47.1,1.97,1.93,0.16,3.8,4.92,4.56,0.04,7.9,91.51
"Lightning","T.B","12-13",48,2281.17,51.16,47.34,46.64,46.51,48.65,2.67,2.55,27.33,30.4,37.72,43.16,49.81,57.28,2.05,2.17,0.12,-3.07,-5.44,-7.48,-0.11,9.77,91.62
"Maple Leafs","TOR","12-13",48,2273.17,52.24,44.62,44.68,44.87,45.43,2.75,2.52,26.15,32.45,37.38,46.29,51.63,63.43,2.01,2.41,0.24,-6.3,-8.91,-11.8,-0.4,10.53,92.24
"Canucks","VAN","12-13",48,2257.67,50.76,49.57,50.91,52.14,50.03,2.18,2.12,27.63,28.1,39.01,37.61,53.43,49.05,2.17,2.16,0.07,-0.48,1.4,4.38,0,7.91,92.46
"Jets","WPG","12-13",48,2354.68,47.5,48.58,49.16,49.34,48.55,2.33,2.57,27.9,29.53,40.6,41.99,55.83,57.33,2.33,2.46,-0.24,-1.63,-1.38,-1.5,-0.14,8.35,91.28
