Player,No.,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Draft,Player-additional
Blake Lizotte,46,US,F,27,9-May,173,L/-,6,December 13 1997,9 G 4 A 13 P,,lizotbl01
Alex Nedeljkovic,39,US,G,29,Jun-00,189,-/L,7,January 7 1996,12-9-5 2.93 GAA,2014 CAR 2nd (37),nedelal01
Matt Nieto,83,US,F,32,11-May,185,L/-,11,November 5 1992,1 G 2 A 3 P,2011 SJS 2nd (47),nietoma01
Rickard Rakell,67,SE,F,31,1-Jun,195,R/-,12,May 5 1993,25 G 23 A 48 P,2011 ANA 1st (30),rakelri01
Ryan Shea,5,US,D,27,1-Jun,220,L/-,1,February 11 1997,0 G 2 A 2 P,2015 CHI 4th (121),sheary01
Philip Tomasino,53,CA,F,23,Jun-00,179,R/-,3,July 28 2001,7 G 5 A 12 P,2019 NSH 1st (24),tomasph01
Will Borgen,17,US,D,28,3-Jun,204,R/-,5,December 19 1996,2 G 3 A 5 P,2015 BUF 4th (92),borgewi01
Jonny Brodzinski,22,US,F,31,Jun-00,204,R/-,8,June 19 1993,4 G 4 A 8 P,2013 LAK 5th (148),brodzjo01
Sam Carrick,39,CA,F,32,Jun-00,200,R/-,8,February 4 1992,5 G 10 A 15 P,2010 TOR 5th (144),carrisa01
Will Cuylle,50,CA,F,22,3-Jun,211,L/-,2,February 5 2002,14 G 15 A 29 P,2020 NYR 2nd (60),cuyllwi01
Adam Fox,23,US,D,26,11-May,182,R/-,5,February 17 1998,4 G 40 A 44 P,2016 CGY 3rd (66),foxad01
Dylan Garand,33,CA,G,22,Jun-00,173,-/L,R,June 7 2002,,2020 NYR 4th (103),garandy01
Bo Groulx,21,FR,F,24,2-Jun,198,L/-,3,February 6 2000,,2018 ANA 2nd (54),groulbe01
Zac Jones,6,US,D,24,11-May,185,L/-,4,October 18 2000,1 G 7 A 8 P,2019 NYR 3rd (68),jonesza01
Arthur Kaliyev,34,UZ,F,23,2-Jun,210,L/-,4,June 26 2001,3 G 1 A 4 P,2019 LAK 2nd (33),kaliyar01
Chris Kreider,20,US,F,33,3-Jun,230,L/-,12,April 30 1991,16 G 4 A 20 P,2009 NYR 1st (19),kreidch01
Alexis Lafreniere,13,CA,F,23,1-Jun,195,L/-,4,October 11 2001,14 G 18 A 32 P,2020 NYR 1st (1),lafreal01
Ryan Lindgren,55,US,D,26,Jun-00,194,L/-,6,February 11 1998,2 G 13 A 15 P,2016 BOS 2nd (49),lindgry01
J.T. Miller,8,US,F,31,1-Jun,218,L/-,12,March 14 1993,2 G 2 A 4 P,2011 NYR 1st (15),millejt01
K'Andre Miller,79,US,D,25,5-Jun,215,L/-,4,January 21 2000,4 G 9 A 13 P,2018 NYR 1st (22),milleka01
Artemi Panarin,10,SU,F,33,Jun-00,173,R/-,9,October 30 1991,23 G 34 A 57 P,,panarar01
Jonathan Quick,32,US,G,39,1-Jun,220,-/L,17,January 21 1986,8-5-2 3.03 GAA,2005 LAK 3rd (72),quickjo01
Matt Rempe,73,CA,F,22,9-Jun,255,R/-,1,June 29 2002,1 G 2 A 3 P,2020 NYR 6th (165),rempema01
Braden Schneider,4,CA,D,23,3-Jun,208,R/-,3,September 20 2001,3 G 10 A 13 P,2020 NYR 1st (19),schnebr01
Igor Shesterkin,31,RU,G,29,1-Jun,189,-/L,5,December 30 1995,18-19-2 2.87 GAA,2014 NYR 4th (118),shestig01
Reilly Smith,91,CA,F,33,1-Jun,185,L/-,13,April 1 1991,10 G 16 A 26 P,2009 DAL 3rd (69),smithre01
Vincent Trocheck,16,US,F,31,11-May,184,R/-,11,July 11 1993,17 G 20 A 37 P,2011 FLA 3rd (64),trochvi01
Urho Vaakanainen,18,FI,D,26,2-Jun,205,L/-,6,January 1 1999,1 G 5 A 6 P,2017 BOS 1st (18),vaakaur01
Jimmy Vesey,26,US,F,31,3-Jun,202,L/-,8,May 26 1993,3 G 1 A 4 P,2012 NSH 3rd (66),veseyji02
Mika Zibanejad,93,SE,F,31,2-Jun,202,R/-,13,April 18 1993,11 G 26 A 37 P,2011 OTT 1st (6),zibanmi01
